OXdv9UDJnLAm4/0txbPMVQ==	EXPLOIT	1	BB51	BB51
OXdv9UDJnLAm4/0txbPMVQ==	EXPLORE	1	AP06	AGA4
4lqsuUKeZNpj2KURe3ziAA==	EXPLOIT	1	KK52	KK52
eRR8wH4y/ssuYSedFy8UMw==	EXPLOIT	1	CC89	CC89
5UTwA96qiuGeJWF+bia9Kg==	EXPLOIT	1	BB45	BB45
gt/wFgeZZ2uCzQmyA7aCNA==	EXPLOIT	1	AA15	AA15
fkscWnpfoA4I8uNts91eFA==	EXPLOIT	1	AG25	AG25
l360+0hr3pXayaJObhcZQw==	EXPLOIT	1	OB07	OB07
d1Fa77ftiNAOUWRKeb8WrQ==	EXPLOIT	1	2535	2535
UF4olKjxxKk9Tv4iBNEryg==	EXPLOIT	1	KK52	KK52
M1rCpXq9/6uwwGwb6YsHTw==	EXPLOIT	1	NNC8	NNC8
tXUt5rMb4SkxLm6GkY14rA==	EXPLOIT	1	KK41	KK41
v7FEBA3U901cZZLTyvVKZg==	EXPLOIT	1	2535	2535
6X0HXdIJJB837Cx/FcVB6w==	EXPLOIT	1	CC18	CC18
V66olv2qbL2z2ETpFRIUEA==	EXPLOIT	1	AG30	AG30
lgDQqGxCzgiDO/fPf2Ai4Q==	EXPLOIT	1	KK32	KK32
lgDQqGxCzgiDO/fPf2Ai4Q==	EXPLOIT	2	CC90	CC90
vqp26j32ruISPrsSHHH7Yw==	EXPLOIT	1	NN18	NN18
Jwbyi8OV5cpjeL/kkgUCTQ==	EXPLOIT	1	1207	1207
GctnW24Csrmh36ItqN2YVg==	EXPLOIT	1	JJ15	JJ15
GctnW24Csrmh36ItqN2YVg==	EXPLOIT	2	KK41	KK41
Zbj5pN0jDA5hLUR8o+aQgg==	EXPLOIT	1	AG30	AG30
fMzF8dNKr+/8bmokpS4R6Q==	EXPLOIT	1	4021	4021
fMzF8dNKr+/8bmokpS4R6Q==	EXPLOIT	2	KK41	KK41
GuxQdSl3M2nHCKclRGJ0yg==	EXPLOIT	1	NN64	NN64
g//382oXRb3LRgFz9C+3dA==	EXPLOIT	1	NN62	NN62
y8UyXFe1PoqVwJ9Y89BWRg==	EXPLOIT	1	KK35	KK35
y8UyXFe1PoqVwJ9Y89BWRg==	EXPLOIT	2	KK32	KK32
wqkaGZ0Gh7QeODJyx3ikPQ==	EXPLOIT	1	2428	NN18
wqkaGZ0Gh7QeODJyx3ikPQ==	EXPLOIT	2	NN18	2428
FQXbWoHAp/74U3C+vAyg6w==	EXPLOIT	1	BB51	BB51
